Stimulus,Description
2338,"Pungent, but very sweet, heavy odor, sweeter than that of Nitrobenzene, and not as offensive. Moderate to poor tenacity"
2339,"Extremely powerful and ve “y diffusive green-vegetable odor, only in dilution reminiscent (strikingly) of Cucumber or Violet leaf"
2340,"Powerful, fresh-green Cucumber odor, less oily and, in proper dilution, much fresher and lighter than the odor of the aldehyde itself"
2341,"Extremely powerful and very diffusive oily -green, herbaceous and, in proper dilution, sweet, pleasant leafy-vegetable odor of moderate to poor tenacity"
2342,"Very powerful, fatty-oily, but rich and sweet, mildly nut-like odor of excellent tenacity."
2343,"Very powerful and diffusive fatty-floral, waxy odor of moderate tenacity. In proper dilution, the fatty notes become more pleasant, floral-waxy, more rosy and sweet, fresh as Neroli."
2344,"Delicately green-oily, mildly herbaceousfloral odor of good tenacity."
2345,"Refreshing and relatively powerful citrusyfloral, oily-green odor of moderate tenacity"
2346,"Powerful, oily-herbaceous, warm odor of moderate tenacity. Considerable variations are observed when studying the various brands. Notes of floral-Jasmin character, mushroom-like Lavender character or almost caramellic sweetness may be present, predominant or absent in one or the other specialty."
2347,"The pure chemical has a mildly nut-like, fatty and acid odor of good tenacity."
2348,"Powerful, oily-floral, fresh and “petal’’-like odor, rather fatty when undiluted, light and almost rosy when highly diluted"
2349,"Herbaceous, mildly spicy-earthy, but overall sweet and oily odor of moderate to poor tenacity. The odor is not floral like the 1-Nonanol, and not “mushroomy” like- Vinyl hexyl carbinol."
2350,"Creamy, coconutty, delicately fruity (in extreme dilution) and floral-musky odor of excellent tenacity."
2351,"Powerful and, when undiluted, somewhat sharp or pungent grassy-herbal odor with green-fruity undertones. Upon dilution the herbal notes become more natural-sweet, mildly oily, remotely mushroomy-earthy, warm."
2352,"Herbaceous-fruity, warm-ethereal odor of moderate tenacity."
2353,Practically odorless.
2354,"Refreshing, fruity-floral odor with a drywaxy, pleasant note and moderate tenacity."
2355,"Practically odorless when pure, but causes a violently burning taste sensation, even at very low concentration"
2356,"Extremely powerful and diffusive, penetrating, fatty-orrisy odor in higher concentrations. In dilutions below 0.1 !4 the odor becomes more Orris-like, waxy, less fi!itty, slightly green and in extreme dilutions quite pleasant"
2357,"Powerful and very diffusive, waxy-floral odor with balsamic-nutty note and moderate tenacity."
2358,"Powerful, refreshing, green-oily, herbaceous odor of moderate to poor tenacity"
2359,"Powerful, earthy-herbaceous, in dilution refreshingly spicy-herbal odor of moderate tenacity."
2360,"Vegetable-green, mildly oily -herbaceous odor of considerable tenacity. The odor is sometimes described as resembling Artichoke"
2361,"Faint, but pleasant, warm-woody-herbal odor with some resemblance to Ambregris. Excellent tenacity but rather poor stability."
2362,"less waxyfatty, more sharp-pungent than that of the aldehyde."
2363,"Powerful fruity-green, leafy and mildly earthy odor of moderate to poor tenacity"
2364,"Fruity, but also heavy-herbaceous, “incense-like” odor with mildly green-earthy, Reseda-like notes"
2365,"Very sweet, yet refreshingly “peel-like” Mandarin-Orange type odor with distinctly Orangeblossom-winey-fruity undertones and excellent tenacity."
2366,"Peculiar, warm-herbaceous, sweet-fruit y odor complex of considerable tenacity."
2367,"Heavy, sweet-fruity Orange-Rose, yet herbaceous odor of moderate tenacity"
2368,"Delicately fruity, not as “deep” as the nbutyrate, yet a sweet-sharp Apricot-like, Orange-rosy, herbaceous-green odor of moderate tenacity."
2369,"Floral, mildly Coconut-Peach-like odor with musky undertone and excellent tenacity."
2370,"Weak, fatty-grassy oily odor with mildly musky undertone and excellent tenacity."
2371,"Winey-ethereal, mildly fruity and nut-like odor of moderate tenacity."
2372,"peculiar sweet-rosy, delicately earthyoily odor"
2373,"Mild, but persistent woody-musky and soft-floral odor."
2374,"Refreshingly fruity-citrusy, sweet and lightly floral odor of moderate to poor tenacity."
2375,"Mildly green-herbaceous, sweet, Rose- Orangeblossom type odor of moderate tenacity."
2376,"Pungent-herbaceous-ethereal, but sweet and warm odor of moderate to poor tenacity."
2377,"Mild-fruity, oily-Orange-like odor of “aldehydic” character, but overall weak"
2378,"Winey-ethereal, sweet-rosy and mildly waxyaldehydic odor of moderate tenacity"
2379,"Warm-fruity, slightly musty-floral odor with some resemblance toHazelnut. Moderate tenacity."
2380,"Heavy-fruity, Apple-and-Hazelnut-like odor with citrus-winey notes. Moderate tenacity"
2381,"Powerful, sweet-green, diffusive odor of moderate to poor tenacity. Various specialties of widely diiTerent composition and odor have been available of above or related identity."
2382,"The title material has an extremely powerful fruity, sweet and citrusy odor of good tenacity"
2383,"Very mild, woody-camphoraceous odor of moderate to poor tenacity"
2384,"Sweet, woody-fruity odor of moderate tenacity. Some similarity to Linalylacetate, however, less sweet, less fruity, more woody. Arefined grade of Nopyl acetate shows more sweetness, less woody-piney odor"
2385,"Sweet, but rather heavy, warm-herbaceous, almost spicy-balsamic odor of moderate tenacity."
2386,"Warm-herbaceous, mildly spicy odor of moderate tenacity"
2387,"Very diffusive, gassy-piney, camphoraceouswoody odor"
2388,"Warm-herbaceous, very diffusive odor of poor tenacity. The sweetness is almost floral, and there is an immediate similarity to Neroli oil in the odor of pure Ocimene."
2389,Diffusive and refreshing camphoraceous- Lime-1ike odor with an undertone of floral OH sweetness
2390,"Its fruity notes resemble the odor of Bartlettpear (preserved) and the material showsgreat versatility in use. As a modifier for alltypes of herbaceous fragrances, includingClary Sage, and in combination with Oakmossand Styrax it gives new and attractive tonalities and pleasant freshness."
2391,"Very faint, waxy, tenacious odor. Pure material is free from any trace of harsh or rancid notes."
2392,"Virtually odorless when pure, but commercial grades normally have a faint, blandoily odor"
2393,"Powerful and penetrating green-vegetable, grassy and somewhat fatty odor of moderate to poor tenacity."
2394,"Powerful and very diffusive, sweet-oily, almost creamy-buttery, yet green and vegetablelike odor of moderate to poor tenacity."
2395,"Powerful Coconut-coumarinic odor with herbaceous-spicy, almost Caraway-like and warm notes. Slightly greener, but less fatty than the n-Butyl butyrolactone, also more Caraway-like."
2396,"Minty-musty, camphoraceous odor of moderate tenacity"
2397,"Powerful, and in undiluted state harshfatty, penetrating odor. In extreme dilution sweet, Orange-like, slightly fatty, Honey-like and of moderate to poor tenacity."
2398,"When absolutely free from aldehyde, this material has a pleasant sweet-woody, green and mildly floral odor, often including a winey or ethereal topnote."
2399,Powerful oily-green and waxy-citrusy odor of poor tenacity.
2400,"Oily-rancid, sweat-like odor, repulsive to most people, even in dilution of less than 0.1 % acid."
2401,"Powerful, fresh, Orange-Rose-like, waxy and sweet odor of poor tenacity. Balsamicherbal undertones are often classified as Opopanax- like."
2402,"Sweet and powerfully herbaceous, oilynutty and warm odor"
2403,Sweet-herbaceous Coconut-like odor with an oily Tonka-bean-like undertone.
2404,"Powerful, herbaceous-fruity, mildly spicy odor of moderate tenacity"
2405,"Fruity-floral and herbaceous odorcomplex. The fruity notes being of Apple citrus character the floral-herbaceous notes resembling part of Jasmin, while the earthy-herbaceous undertones point in the Foug&e direction"
2406,"Refreshing and rather delicate, rosy-minty odor of moderate to poor tenacity."
2407,"Relatively powerful, oily-musty odor, in dilution more fruity and pleasant. Moderate to good tenacity, but unpleasant when undiluted."
2408,"Fruity, slightly fatty, waxy-floral odor with a discretely green, Apple-1ike or almost “weedy” note, while the undertones are mildly woody."
2409,"Fresh-oily, herbaceous-floral and very sweet, tenacious odor of Sweet-Pea and NeroIi-type, often compared to “Frangipanni”"
2410,"Rather weak, balsamic-oily odor of considerable tenacitv."
2411,"Peculiar, green-herbaceous, remotely Orange-like and mildly fatty-floral odor. The herbaceous notes resemble the warmer parts of Galbanum, while the floral notes are related to Rose. Moderate tenacity."
2412,"Refreshing, herbaceous and fruity-green, vegetable odor."
2413,"Fruity-rosy, floral and fresh odor of moder-ate to good tenacity. Fresher odor than that of the n-Butyrate. The fruity notes being light Melon-Peach-like."
2414,"Very tenacious, but delicately green-peachy odor with unquestionably musky undertones."
2415,"Bland-fruity, also mildly herbaceous odor of considerable tenacity. The odor seems to lack character, and its initial power is very limited. Only in composition with more vola-tile materials it may show some effect, generally fruity, Banana-like and mildly green or almost “metallic” as Parsley."
2416,"Weak, but persistent and sweet-herbaceous, almost tea-like odor "
2417,"Very mild, but sweet and tenacious, balsamic odor. The sweetness is more herbaceous- spicy than fruity, and it is often described as Opopanax-like."
2418,"When this material is absolutely pure, it is virtually odorless"
2419,"Mild, oily-woody, almost floral odor of considerable tenacity. The undiluted material may appear somewhat camphoraceous, but its effect is rather sweet and floral-woody in compositions."
2420,"Sweet and oily-floral, mildly balsamic-herbaceous odor of excellent tenacity."
2421,"Sweet-ethereal, diffusive odor."
2422,"In flavors, the ester finds its way into “tutti- -frutti” compositions, Peach and Apricot imitations and various Citrus types."
2423,"Very faint, sweet-oily, herbaceous-caramellic odor of considerable tenacity."
2424,"Mild, balsamic-sweet and remotely fruity odor of considerable tenacity."
2425,"Oily-green, mildly leafy and somewhat fatty odor of considerable tenacity. Less Violet-leaf- Iike than the lower homologies of these esters."
2426,"Oily-fruity, mildly green and fresh odor resembling the odor of unripe fruit. The oily notes are sweet and rather pleasant"
2427,"Sweet and oily-herbaceous, slightly fruity odor of moderate tenacity."
2428,"Floral and fruity, rather heavy and power-ful, Jasmin-like, warm and discretely spicy odor of moderate tenacity"
2429,"When absolutely pure, the ester is virtually odorless, but commercial samples have usually shown some degree of oily-fatty or blandfruity odor."
2430,"Powerful oily-green odor, sweet and green floral in dilution, the oily notes being freshnut-like, the green notes sweet, vegetable-like, with moderate tenacity."
2431,"Peculiar earthy-floral, and oily citrusy odor of excellent tenacity."
2432,"faint, dry-medicinal odor, but not as choking or distinctly “phenolic” as that of Phenol or Cresol"
2433,"Mild, but very tenacious, sweet-floral odor of woody-Orange-Rose type. The Orange character seems to come from oily-sweet notes which may be concealed under Rose-honey notes if the ester is poorly balanced ("
2434,"Oily-herbaceous, slightly earthy-woody and sweet-spicy odor of considerable tenacity."
2435,"Sweet, oily-waxy and fruity-herbaceous odor, overall a relatively pleasant complex with many notes resembling food or condiment products."
2436,Practically odorless when pure.
2437,"Fruity and relatively diffusive, Apple-Banana-like odor with fresh-’’aldehydic” notes and moderate tenacity."
2438,"Powerful, fatty-fruity, herbaceous odor of moderate tenacity. The herbaceous notes are rather heavy, almost spicy, and the terminal notes are “powdery” resembling the dryout of root-like odors."
2439,"Yet, it is not as “gassy” as the Styrene family, and not as ‘“gasoline’’-like as the Olefins or Paraffins. It is ethereal and sweet, of very poor tenacity, warm and remotely resembling the odor of Myrcene in its warm spiciness."
2440,"materials have a faint, bland-oily odor"
2441,"Warm and sweet, nut-like, earthy-mossy odor of moderate tenacity."
2442,"Dry-woody-tarry, also Walnut-like odor of good tenacity."
2443,"Sweet, soft and extremely tenacious, discretely animal-musky odor"
2444,exquisite musk odor with a pleasant note resembling Ambrette-seed oil
2445,"Sweet, tenacious and intensely musky odor. Generally considered less powerful and less tenacious than Cyclopentadecanolide, and it does not have the attractive and highly appreciated “Ambrette-seed “-like note"
2446,"Sweet and woody-floral, delicately green odor of good tenacity. The overall odor bears some resemblance to that of Cyclamen aldehyde."
2447,Virtually odorless when absolutely pure.
2448,"Powerful, floral-green, sweet and Violetleaf-like odor of moderate to poor tenacity."
2449,"Very faint, but delicately fresh-floral odor of good tenacity,"
2450,"Very faint, bland-waxy and discretely floral odor of excellent tenacity. An absolutely pure material is reported to be virtually odorless."
2451,"Faint, but sweet and delicate, etherealwiney, oily odor, Good tenacity."
2452,"rarely used in perfume compositions, Higher concentrations have acrid taste and repulsively acid odor, pungent and irritating."
2453,Powerful and pungent Mustard-like odor of poor tenacity.
2454,"This alcohol has been used in perfume compositions as part of leafy-green topnotes, as a “lifting” ingredient, and in combination with Galbanum, Geranium and similar materials for powerful effects"
2455,"Powerful and diffusive, green-fruity, somewhat pungent odor of poor tenacity. The fruitiness resembles that of Amyl acetate, but it is not nearly as sweet, the greenness is slightly gassy-leafy, Violet-like."
2456,"Woody and faintly citrusy odor with some resemblance to the odor of the Ionones, but inferior tenacity."
2457,"Warm and slightly spicy, Jasmin-like odor of excellent tenacity. Not as sweet as iso- Jasmone, but also less Celery-like in its warmspicy character. Overall less floral than the most popular iso-Jasmones and Didydro jasmones, etc."
2458,"Powerful, but not pungent, green-herbaceous odor of spicy-condiment-like type. The odor is often classified as “resembling that of Cuminaldehyde”,"
2459,"When absolutely pure, the material has a pleasant, fresh-citrusy and peppery-woody odor with a discretely minty note."
2460,"Peppery -minty, refreshing and slightly citrusy odor of poor tenacity."
2461,"Powerful, sweet-green, tenacious odor"
2462,"Peppery -minty, refreshing and slightly citrusy odor of poor tenacity."
2463,"This material has been suggested for use in perfume compositions as a modifier in .’green” and green-floral notes, particularly interest ing in Lilac and Muguet."
2464,"Very faint, acetic-sweet odor of considerable tenacity. The odor is not nearly as cloying as that of Phenylacetic acid, and not as Honey-like, but it is more ““sour”."
2465,Sweet floral odor of good tenacity.
2466,"Sweet-fruity, rosy-floral, slightly honey-like odor of excellent tenacity. Good perfumery grades should show no “metallic” note, generally due to the presence of Glycol-impurities."
2467,"Warm, rosy-fruity, slightly earthy-herbaceous odor of good tenacity. Not as sweet as the iso-butyrate, but warmer."
2468,"Warm-fruity-floral odor of considerable tenacity. The tobacco-like notes seem to re-monophenylplace the honey-notes (in the lower esters), and the fruity theme is discretely Apple-like. The odor is not as herbaceous-fungoid as that of the propionate, but not as warm either."
2469,"Sweet, mild-fruity-honey-like, tenacious odor."
2470,"Very powerful and penetrating, pungentgreen, floral and sweet odor of Hyacinth-type."
2471,"Sweet-floral, somewhat earthy-fruity odor of good tenacity."
2472,"Sweet and delicately green-rosy, floral, tenacious odor."
2473,"Sweet and very tenacious, floral-honey-like odor."
2474,"Intensive, pungent-green odor, reminiscent of cut grass"
2475,"Herbaceous-green, but not very pleasant odor of moderate tenacity."
2476,"Mild, yet rather heavy-floral, sweet and tenacious odor."
2477,"Sweet-floral, delicately green, refreshing odor of good tenacity."
2478,"Mild and sweet-floral, slightly green and very tenacious odor."
2479,"Sweet-foliage-like, intensively green and moderately tenacious odor. More refined or delicate, less pungent-green than the Dimethylacetal."
2480,"Deep-sweet, heavy and rosy-herbaceous, slightly earthy odor of very good tenacity."
2481,"Earthy-green, pungent floral odor of moderate to poor tenacity"
2482,"Sweet-earthy, green-floral Hyacinth type odor."
2483,"Sweet-green, warm-earthy odor of moderate tenacity. The green-earthy complex is generally  classified as “Reseda’’-like, which is highly appreciated in perfumery, ah bough very few perfumers know what Reseda smells like "
2484,"Fresh-rosy, floral and sweet-green odor of moderate to poor tenacity"
2485,"Powerful green-earthy, flower-stem-like odor, not as pungent as that of the aldehyde,"
2486,"Slightly musty, green-herbaceous odor of moderate to poor tenacity"
2487,"Clean and mild, fresh-rosy, leafy odor of moderate to poor tenacity"
2488,"Very faint, sweet-green, rosy odor with peculiar semi-dry undertones. Moderate to good tenacity."
2489,"Slightly green-woody, very mild and delicate odor of moderate tenacity."
2490,"Peculiar oily-green, earthy -rooty, but mild and sweet odor of good tenacity."
2491,"Floral, but somewhat harsh odor of Lily-Jasmin type. Impure products may show phenolic notes, while a “metallic” note seems to be normal in this material."
2492,"Sweet, animal-honey-like odor of extraordinary tenacity. The sweet-honey-like character is predominant at very low concentration, while the animal-Civet-like notes appear at higher concentrations."
2493,"Faint, balsamic odor of excellent tenacity."
2494,Very faint “metallic’’-sweet odor
2495,"Sweet and fruity-honey-like, relatively tenacious odor with discrete balsamic-floral character."
2496,"Warm, spicy-floral and balsamic odor,"
2497,"Ethereal-rosy, green, slightly “gassy”, Geranium- type odor of poor tenacity"
2498,"Light and sweet-herbaceous odor with discretely citrusy-lemony notes, overall resembling Verbena, although not nearly as “lemony”."
2499,"Very’ faint, sweet-floral odor of blossom-Honeysuckle type."
2500,"Very faint, balsamic-floral, metallic-green odor of excellent tenacity."
2501,"Very mild, green-rosy, slightly metallic odor, in solution developing a pleasant, sweet-tearosy odor type. Good tenacity"
2502,Warm and relatively powerful balsamicrosy odor of moderate tenacity
2503,"Sweet, but rather heavy, herbaceous-rosy odor, heavier and less rosy than Phenylethylalcohol, but more tenacious"
2504,"Pungent-heavy, Honey-fruity odor with distinctly animal undertones"
2505,"Very faint, but very tenacious, sweet-heavy, floral-honey-like odor."
2506,"Powerful, fruity-floral and sweet, tenacious odor"
2507,"Very mild, faintly-balsamic, creamy and tenacious odor"
2508,"Very faint, sweet, floral-balsamic odor"
2509,"Very faint, sweet, oily-balsamic odor of considerable tenacity."
2510,"Extremely penetrating, repulsive and irritating odor when undiluted. “Soapy’’-sweet odor in extreme dilution."
2511,"The odor has occasionally been described as “’horseradish-like”, but the author believes that this description must refer to another material."
2512,"Very sweet, rosy-fruity, honey-like odor of moderate to poor tenacity. The fruity notes are mostly peachy with a pleasant Ieafy-green tonality, the rosy notes very sweet, almost towards Gardenia."
2513,"Mild and warm, Rose-honey-like odor of moderate to poor tenacity. Poorer grades show earthy or pungent, more Hyacinth-like topnotes, or greener “gassy” notes"
2514,"In spite of the apparent absence of odor, the material has an unquestionable effect when incorporated in a composition along with  more volatile, odorous chemicals. Its effect is then sweet-floral, deep-fruity, herbaceous-honey-like and it has outstanding tenacity."
2515,"Very faint floral-balsamic odor reminiscent of dry Rose leaves and petals with a soft, honey-like undertone and excellent tenacity"
2516,"Fine and natural-rosy, warm, floral-fruity odor of moderate tenacity."
2517,"Refreshing fruity-rosy odor. More fruity than rosy, and overall fresher than the n-Butyrate. Moderate to poor tenacity."
2518,"Fruity-green, rosy, fresh-Pineapple-like, Banana-like odor type of good tenacity."
2519,"Mild, fruity-winey odor with a peculiar herbaceous-earthy, almost fungoid character, not uncommon in C-8 derivatives"
2520,"Pleasant floral-balsamic odor, somewhat more powerful than Phenylpropyl alcohol and not as “delicate”. Moderate to poor tenacity"
2521,"Fresh-floral and fruity-balsamic odor of mderate tenacity. The floral notes are mildly rosy, the fruity are reminiscent of Raspberry but the odor is overall very mild and quite versatile, although it camies a touch of greenness."
2522,"Very faint, but sweet and pleasant, balsamic odor of excellent tenacity. There is a mild, floral-fruity note in the sweetness of a very pure material."
2523,"Pleasant, dry-and-sweet, mildly rosy-musty odor with warm-herbaceous undertone. Tenacity is good."
2524,"Extremely tenacious, warm and mild-rosy, earthy-honey-like odor"
2525,"Delicate, fresh-fruity-rosy odor of considerable tenacity."
2526,"Warm-balsamic, floral and slightly earthygreen-spicy odor of moderate tenacity"
2527,"Fresh-floral, mildly green-rosy and discretely balsamic odor of moderate tenacity."
2528,"Pleasant ethereal-alcohol-like, sweet and rather powerful odor of poor tenacity."
2529,"Powerful, green-herbaceous, rosy odor with some similarity to Chrysanthemum, Hyacinth and Watercress foliage. Moderate to poor tenacity."
2530,"Warm, fruity-caramellic, slightly earthy oily odor of moderate tenacity."
2531,"Mild, oily-citrusy-fruity odor of Orange character but with distinctly earthy -herbaceous notes, almost fungoid."
2532,"Powerful, floral-green, sweet and tenacious odor,"
2533,"Very faint, bland-sweet, fruity-ethereal odor, sometimes with a rosy note, presumably derived from a surplus of the alcohol parent."
2534,"Warm, ethereal-herbaceous, also caramellic- sweet odor of moderate tenacity."
2535,"Dry-and-sweet, ethereal-herbaceous rose odor of moderate to poor tenacity. The rosy notes are more “dry-leaf’’-notes than truly floral notes, a fact which gives impression of “Potpourri-rose”, or the old-fashioned Rosesachets."
2536,"Fresh and sweet, rosy-fruity odor of moderate to poor tenacity. More rosy than fruity, and not quite as sweet as Phenylethyl acetate."
2537,"Sweet, floral-fruity odor with a warm, oily-herbaceous undertone and moderate tenacity,"
2538,"Sweet and warm, herbaceous-fruity odor"
2539,"Mild and fresh, slightly green, fruity and sweet odor of moderate tenacity."
2540,"Mild, but tenacious, sweet, green-fruity, warm-herbaceous odor"
2541,"Mild, warm-rosy and floral, refreshingly Muguet-like and tenacious odor."
2542,"Fresh, green-floral, Narcissus-Hyacinth-Lily type odor of good tenacity."
2543,"Sweetl earthy-rosy, mildly fungoid or mushroom-like, but overall pleasant and warm odor of good tenacity."
2544,"Mild and tenacious, herbal-fruity, warm odor with sweet-earthy notes"
2545,"Faint and mild, but very tenacious, delicately rosy-honey-like odor, Undertones are discretely fruity, the floral notes resemble Freesia"
2546,"Weak and faint, oily-ethereal, sweet odor of good tenacity."
2547,"Oily-sweet, delicately rosy, petal-like and mildly waxy, herbaceous odor of good tenacity. "
2548,"Heavy and very sweet, extremely tenacious, floral-balsamic odor which is sometimes described as “musky” (perhaps by observers who detect no special odor in the material), or “honey-like”"
2549,"Very warm, herbaceous-rosy, deep-fruity and moderately tenacious odor with a delicately spicy note (warm-balsamic)."
2550,"Mild and refreshingly green, rosy odor of moderate to poor tenacity."
2551,"Faint, but sweet and delicately balsamicfloral, Rose-Hyacinth and Carnation type odor of excellent tenacity."
2552,"Mild, deep-sweet, herbaceous-winey, discretely floral-balsamic odor of moderate tenacity."
2553,"Pungent, but rich and earthy-sweet, almost nut-like Radish-Horseradish-like odor, sometimes  described as resembling the odor of crushed Rapeseed."
2554,"Mildly floral-rosy, also sweet-herbaceous odor of moderate tenacity. The odor is strongly influenced by a surplus of one or the other parent component - sulfuraceous or rosy."
2555,"Very pleasant, warm-herbaceous, deeprosy, dry-leafy-green odor with balsamiccaramellic sweetness and good tenacity"
2556,"Oily-fatty, sweet-Hay-Honey-like, warmherbaceous odor of considerable tenacity."
2557,"Warm, fruity-rosy, herbaceous-tobacco-like odor of good tenacity."
2558,"Fruity-rosy, Rose-petal-like, mildly balsamic odor of good tenacity. Not quite as warmherbaceous as the n-Valerate"
2559,"Powerful ethereal-rosy, sweet-pungent odor of moderate to poor tenacity."
2560,"Very mild, warm-balsamic and sweet odor of excellent tenacity. Poorer grades may show “phenolic”character which is unacceptable and undesirable. "
2561,"Pungent, rather sharp, green-herbaceous odor of moderate tenacity."
2562,"Mild, sweet, caramellic-sour odor of considerable tenacity. A highly purified material is said to be virtually odorless."
2563,"Mild and weak, but sweet and pleasantly floral odor of excellent tenacity."
2564,"Very faint, sweet-floral, deep-fruity odor with a musty-leafy note."
2565,"Mild balsamic odor with a faint, but pleasant floral note of Lily-Hyacinth character, and very good tenacity."
2566,"Pleasant, somewhat heavy, Gardenia-Hyacinth-Lily type odor, more earthy than fruity, and with damp, not truly fresh, greenness."
2567,"Fruity-green, rather fresh and powerful odor of moderate to poor tenacity."
2568,"Fruity-green, somewhat pungent, but not harsh, odor of moderate to poor tenacity.Ixss earthy and less harsh than the odor of the secondary-Pheny lglycol monoacetate"
2569,"Harsh-green, also floral and slightly earthy odor of moderate to poor tenacity"
2570,"Mild, balsamic-sweet, dry-floral or woodyfloral odor with a delicately green note and excellent tenacity."
2571,Sweet and fruity Lily-Hyacinth-like odor of moderate tenacity.
2572,"Mild, ethereal-fruity, green-floral odor of moderate to poor tenacity, but considerable power."
2573,"Relatively powerful and heavy, fruity Gardenia-Narcisse-Hyacinth type of moderate tenacity."
2574,"Heavy and intensely sweet, floral-herbaceous and very tenacious odor of Honey- Gardenia type."
2575,"Mild, oily-rosy and delicately green, tenacious odor."
2576,"Refreshingly citrusy-green, delicately rosy odor of good tenacit y. The odor has sometimes been described as “Rose-Lime’’-like, a combination which is rather fashionable in soap and shaving cream fragrances again"
2577,"Weak, but verytenacious,floral-Ambre type odor with mildly balsamic notes and variable amounts of Neroli-Orangeblossom notes, according to origin of material."
2578,Heavy-sweet floral Honey-like odor of good tenacity but not very powerful
2579,"Very faint, warm-balsamic and sweet odor of Coumarin-Vanillin-type and excellent tenacity."
2580,"Balsamic-green, oily-earthy odor with warm-spicy undertones and moderate tenacity."
2581,"Warm, spicy-floral odor of moderate to good tenacity."
2582,"Warm-floral, tenacious odor with deepfruity notes and pleasant sweetness"
2583,"Warm, green-floral, sweet and tenacious odor with mildly fruity notes"
2584,"its odor is rather weak, very sweet, green-rosy and tenacious, overall not very unusual."
2585,"Warm and very tenacious, floral-fruity odor with sweet-earthy, discretely green notes"
2586,"Powerful and sharp-green, pungent-vegetable type of odor with good tenacity. The odor is more spicy and heavy than that of Benzyl cyanide, although both odors are described as “Watercress’’-type odors."
2587,"Faint, but very tenacious, oily-balsamic, sweet odor."
2588,"Sweet, floral-fruity, warm and mildly balsamic odor of moderate tenacity"
2589,"Warm and mild, balsamic-floral, sweet odor of moderate tenacity. The floral notes have a Lilac-Rose-Hyacinth character, but without the pungency of the Hyacinth, rather the delicate mildness of a Peony"
2590,"Very mild, but extremely tenacious, sweetbalsamic, green-herbaceous odor with an almost vegetable type of sweet-green-herbal character."
2591,"Heavy, sweet-fruity and balsamic odor of moderate to good tenacity"
2592,"Fruity-balsamic, tenacious, but refreshingly sweet odor."
2593,"Mild, oily-fruity, slightly green-bland odor reminiscent of unripe Banana, Melon, etc. and with a delicately floral-green undertone. Good tenacity."
2594,"Sweet, fruity-green odor of good tenacity"
2595,"Sweet, oily-fruity and mildly balsamic odor of excellent tenacity."
2596,"Very tenacious, rosy -balsamic, delicately fruity odor. Basically mild, but rich and pleasant when pure"
2597,"Powerful and pungent-herbaceous, deepgreen odor of moderate tenacity."
2598,"Pleasant, sweet, floral-herbaceous, Geranium-Hyacinth-type odor of moderate tenacity. Its undertones are mildly spicy, warm, cinnamon-like."
2599,"Semi-dry, very heavy, balsamic-spicy and discretely green odor of excellent tenacity. The peculiar dry-sweet topnote resembles the initial notes in Mimosa and Narcisse"
2600,"Heavy and sweet, but pleasant floral. Lily- Rose-Hyacinth type odor of moderate tenacity."
2601,"Powerful, sweet-green and diffusive-floralwoody odor of moderate tenacity. The tenacity of a very pure material is actually poor, while in poorer grade material the residual notes are usually derived from the impurities, and should not be considered characteristic of the material."
2602,Sweet-caramellic-fruity odor of moderate tenacity.
2603,"Fatty-rosy, heavy, floral and slightly greenherbaceous odor of excellent tenacity"
2604,"Heavy-fruity, mildly spicy -balsamic, deep-sweet odor of good tenacity. The fruity notes are rather fruit-preserve-like, reminiscent of Raspberry-Strawberry jams."
2605,"Distinctly fruity, refreshing and Strawberry Prune-Plum-like, very sweet and tenacious odor."
2606,"Warm, pungent-floral, mildly green odor of moderate to poor tenacity."
2607,"Very mild and sweet, fruity-balsamic odor, like very subdued Wintergreen, also reminiscent of Benzyl salicylate, but not as floral"
2608,"Intensely sweet, but also pungent, heavy, Honey-like odor of moderate to good tenacity."
2609,"Warm-herbaceous, green-floral and very tenacious odor."
2610,"Warm and sweet-herbaceous, honey-like odor."
2611,"Pungent, sweet-camphoraceous, heavy odor of poor tenacity. In extreme dilution, the odor is less camphor-like, more honey-like and sweet, yet heavy."
2612,Practically odorless
2613,"To most observers, this material is odorless. On a closer study, one may detect very delicate, floral-balsamic notes, resembling those of Nerolidol and Famesol"
2614,"Virtually odorless and tasteless when absolutely pure, but normally carries a delicate, dry-leaf, tea-like and slightly caramellic-sweet odor."
2615,"Faint, but pleasant and discretely fruityacidulous odor of excellent tenacity. There is a trace of floral-balsamic note combining with the fruity note to a pleasing fragrance."
2616,"Powerful, sweet, bread-like, honey-like, dif-fusive odor of poor tenacity. Although the impression is that of a warm, aromatic and sweet odor"
2617,"Warm, sweet and rather pleasant, herbaceous- caramellic odor of poor tenacity"
2618,"Powerful and diffusive, ethereal-mintycamphoraceous, warm-sweet odor of poor tenacity."
2619,"Its odor is warm-resinous, refreshing Pine-Iike, but lower grades of this material may carry more pronounced “Turpentine’’-like odor, “Rosin’’-odor or even herbaceous-aromatic odor (common feature of autoxidizedalpha-Pinene)."
2620,"Dry-woody, resinous-piney odor of poor tenacity."
2621,"Fresh, Camphor-Menthol type odor of moderate to poor tenacity. The dextro-isoisomer has a more dry, Bomeol-woody odor."
2622,"Warm-camphoraceous, Cedarleaf-like, slightly spicy odor of moderate to poor tenacity."
2623,"Warm-woody-balsamic, slightly piney-fennel-like odor of moderate to poor tenacity"
2624,"Powerful camphoraceous-mint y odor of moderate to poor stability, but good diliusive power."
2625,"Powerful camphoraceous odor, diffusive and warm, of poor tenacity."
